Year,Bowler,Economy,TotalRuns,Overs,TotalBalls,TotalWickets,Sixes,Wides,NoBalls,DotBalls,BowledWickets,LbwWickets,HitWicketWickets,CaughtAndBowledWickets,StumpedWickets,raw_FIB,FIB
2021,NM Coulter-Nile,6.4,128,20.0,120,7,2,1,1,54,3,1,0,1,0,6.3296850000000004,5.628508663367029
2021,AR Patel,6.638297872340425,312,47.0,282,15,13,3,0,105,2,3,0,0,1,6.439876595744681,6.727940402369777
2019,KH Pandya,7.282608695652174,335,46.0,276,12,12,6,0,100,4,1,0,3,1,6.4462586956521735,6.806831949264909
2017,GJ Maxwell,6.578947368421052,125,19.0,114,7,3,1,0,40,2,2,0,0,0,6.458189473684211,5.849491967161466
2019,Rashid Khan,6.380165289256198,386,60.5,363,17,15,6,0,170,3,5,0,0,1,6.481197520661157,6.58936546809791
2018,IS Sodhi,5.869565217391305,135,23.0,138,5,2,0,0,51,0,1,0,0,0,6.486839130434783,6.258824599446067
2023,RD Chahar,7.751677852348994,385,49.666666666666664,298,8,12,3,0,99,0,2,0,0,1,6.501744966442953,7.395750021855403
2020,R Tewatia,7.130434782608695,328,46.0,276,10,16,10,2,104,1,0,0,0,2,6.506517391304348,8.055266183145678
2018,YS Chahal,7.32,366,50.0,300,12,16,17,3,141,6,0,0,1,2,6.538918000000001,7.953384159039571
2018,Rashid Khan,6.735294117647059,458,68.0,408,21,19,3,0,170,7,5,0,0,1,6.551851470588235,6.93255430316462
2015,MA Starc,6.790697674418604,292,43.0,258,20,2,16,1,126,10,1,0,0,0,6.572544186046511,6.256034774537572
2017,KV Sharma,6.978260869565217,214,30.666666666666668,184,13,11,5,0,83,0,2,0,1,1,6.59624347826087,7.902375492752808
2020,PP Chawla,9.142857142857142,192,21.0,126,6,10,2,1,38,0,1,0,0,1,6.645504761904762,8.420366218631845
2016,PP Chawla,7.754716981132075,274,35.333333333333336,212,11,12,8,1,85,3,3,0,0,1,6.654619811320757,7.821230711779718
2024,AR Patel,7.659090909090909,337,44.0,264,11,15,1,0,81,4,1,0,2,1,6.656224999999999,7.184382401666046
2015,Iqbal Abdulla,7.894736842105263,150,19.0,114,4,8,8,0,53,1,0,0,0,1,6.673626315789473,8.70405806348538
2016,SB Jakati,8.95,179,20.0,120,2,9,3,1,35,0,0,0,0,1,6.7062100000000004,8.70632356085571
2021,SP Narine,6.482142857142857,363,56.0,336,16,15,8,2,137,5,3,0,0,1,6.750660714285716,6.9536817663079
2016,STR Binny,7.882352941176471,134,17.0,102,1,1,2,0,30,0,0,0,0,0,6.756017647058824,6.841506872523144
2017,A Mishra,8.832618025751072,343,38.833333333333336,233,10,20,4,0,84,0,0,0,0,2,6.7685240343347655,9.23272514199421
2022,J Suchith,7.777777777777778,140,18.0,108,7,9,8,0,56,1,1,0,0,1,6.770166666666668,8.48210371067002
2019,YS Chahal,7.824324324324324,386,49.333333333333336,296,18,22,12,0,129,4,2,0,0,2,6.815091891891893,8.273454582108123
2016,Sandeep Sharma,7.32,366,50.0,300,15,12,9,0,141,2,0,0,0,1,6.819778,7.674121074630999
2020,CV Varun,6.846153846153846,356,52.0,312,17,9,1,0,112,5,1,0,1,0,6.863315384615385,6.491017773453311
2015,S Aravind,7.333333333333333,132,18.0,108,8,3,2,0,49,3,0,0,1,0,6.869116666666667,6.610456968979702
2021,YS Chahal,7.056603773584905,374,53.0,318,18,17,5,0,132,3,3,0,0,1,6.873747169811321,7.1502916133905075
2020,DL Chahar,7.615384615384615,396,52.0,312,12,6,9,0,127,5,0,0,2,0,6.897875000000001,6.534200075954035
2020,YS Chahal,7.1195335276967935,407,57.166666666666664,343,21,16,8,2,121,6,1,0,1,1,6.929491836734693,7.382420838189087
2019,Imran Tahir,6.699481865284975,431,64.33333333333333,386,26,18,5,0,151,2,1,0,3,1,6.955223316062176,7.192259788487675
2022,LS Livingstone,8.782608695652174,202,23.0,138,6,10,6,0,44,0,0,0,1,1,6.963304347826085,8.152332670068644
2015,AR Patel,8.4,392,46.666666666666664,280,13,21,10,0,99,1,0,0,1,2,6.96654642857143,8.62191671626284
2021,Rashid Khan,6.666666666666667,380,57.0,342,18,9,11,0,141,4,4,0,0,0,6.984764912280702,6.431043844455187
2022,AR Patel,7.465116279069767,321,43.0,258,6,15,4,0,89,2,1,0,0,1,6.988406976744185,7.212459763852523
2019,AR Patel,7.137254901960785,364,51.0,306,10,17,1,0,111,1,1,0,1,1,6.99196274509804,7.450041845808967
2016,R Ashwin,7.25,319,44.0,264,10,10,20,0,109,1,2,0,0,1,6.995604545454546,7.960791125253142
2020,AR Patel,6.411764705882353,327,51.0,306,9,7,2,0,102,1,0,0,0,0,7.002300000000001,6.6646793040488435
2015,J Suchith,8.64102564102564,337,39.0,234,10,13,7,0,76,2,0,0,1,1,7.008935897435897,7.911325259520185
