Year,Bowler,Economy,TotalRuns,Overs,TotalBalls,TotalWickets,Sixes,Wides,NoBalls,FI Wickets,DotBalls
2016,SP Narine,7.125,304,42.666666666666664,256,11,11,10,0,7,119
2020,R Tewatia,7.130434782608695,328,46.0,276,10,16,10,2,1,104
2018,A Mishra,7.135135135135135,264,37.0,222,12,10,5,0,3,78
2019,AR Patel,7.137254901960785,364,51.0,306,10,17,1,0,3,111
2013,SR Watson,7.152,298,41.666666666666664,250,13,8,6,0,3,120
2008,SR Watson,7.163076923076924,388,54.166666666666664,325,17,6,19,5,2,182
2013,PP Chawla,7.1657142857142855,418,58.333333333333336,350,11,12,2,0,7,125
2022,UT Yadav,7.166666666666667,344,48.0,288,16,13,9,5,5,151
2013,MG Johnson,7.171875,459,64.0,384,24,9,23,0,6,215
2017,BA Stokes,7.181818181818182,316,44.0,264,12,11,11,0,5,126
2023,AR Patel,7.191489361702128,338,47.0,282,11,15,10,0,5,111
2021,Shakib Al Hasan,7.1923076923076925,187,26.0,156,4,9,2,0,2,51
2020,Sandeep Sharma,7.1923076923076925,374,52.0,312,14,13,5,0,5,124
2015,IC Pandey,7.193548387096774,223,31.0,186,11,8,3,0,3,98
2022,JJ Bumrah,7.199999999999999,384,53.333333333333336,320,15,11,7,1,6,145
2024,M Theekshana,7.2,144,20.0,120,2,7,1,0,1,47
2016,R Bhatia,7.205882352941177,245,34.0,204,6,11,4,1,3,62
2012,M Morkel,7.2063492063492065,454,63.0,378,25,9,15,1,9,171
2012,AB Dinda,7.208333333333333,173,24.0,144,9,5,11,4,2,71
2013,SL Malinga,7.209183673469388,471,65.33333333333333,392,20,9,15,3,13,170
2009,S Tyagi,7.2105263157894735,137,19.0,114,5,4,4,1,2,66
2012,RJ Harris,7.222222222222222,130,18.0,108,8,3,1,0,1,52
2010,SE Bond,7.225806451612903,224,31.0,186,9,3,6,0,3,81
2012,B Kumar,7.230769230769231,282,39.0,234,8,10,10,1,3,99
2010,YK Pathan,7.235294117647059,246,34.0,204,5,6,10,0,4,78
2012,J Botha,7.2439024390243905,297,41.0,246,9,8,5,0,6,99
2011,PP Ojha,7.248868778280542,267,36.833333333333336,221,10,11,3,0,4,94
2016,R Ashwin,7.25,319,44.0,264,10,10,20,0,3,109
2012,KK Cooper,7.25,174,24.0,144,10,7,5,0,4,67
2019,S Gopal,7.25,348,48.0,288,20,17,1,1,5,107
2010,Harmeet Singh,7.25,174,24.0,144,8,5,11,0,5,69
2011,I Sharma,7.25,319,44.0,264,11,7,11,5,4,140
2015,A Nehra,7.258064516129032,450,62.0,372,22,13,13,1,6,187
2011,WD Parnell,7.261363636363637,213,29.333333333333332,176,9,2,21,0,2,88
2011,RA Jadeja,7.261904761904762,305,42.0,252,8,12,11,0,3,101
2014,PV Tambe,7.26530612244898,356,49.0,294,15,9,14,0,5,107
2014,JP Duminy,7.2727272727272725,240,33.0,198,3,8,10,0,1,68
2019,R Ashwin,7.2727272727272725,400,55.0,330,15,15,12,0,5,112
2013,PP Ojha,7.280254777070064,381,52.333333333333336,314,16,15,8,0,3,119
2013,M Kartik,7.282051282051282,284,39.0,234,9,7,9,0,2,81
2019,KH Pandya,7.282608695652174,335,46.0,276,12,12,6,0,8,100
2009,RE van der Merwe,7.294117647058823,248,34.0,204,9,10,5,0,5,67
2009,SK Warne,7.3,365,50.0,300,14,14,17,0,6,126
2014,R Ashwin,7.303621169916434,437,59.833333333333336,359,16,21,23,0,5,159
2010,PP Ojha,7.308781869688385,430,58.833333333333336,353,21,17,11,1,5,146
2011,SK Raina,7.3090909090909095,201,27.5,165,4,8,8,0,2,76
2022,HH Pandya,7.311475409836065,223,30.5,183,8,6,6,1,3,82
2015,SP Narine,7.3125,234,32.0,192,7,11,4,0,5,84
2016,Sandeep Sharma,7.32,366,50.0,300,15,12,9,0,2,141
2018,YS Chahal,7.32,366,50.0,300,12,16,17,3,7,141
2015,S Aravind,7.333333333333333,132,18.0,108,8,3,2,0,4,49
2012,R Bhatia,7.3354231974921635,390,53.166666666666664,319,13,13,4,1,2,92
2018,DL Chahar,7.336244541484716,280,38.166666666666664,229,10,10,19,2,3,135
2021,Shivam Mavi,7.33678756476684,236,32.166666666666664,193,11,4,11,3,4,100
2025,JD Unadkat,7.342657342657343,175,23.833333333333332,143,11,4,3,0,3,57
2012,PP Chawla,7.350877192982456,419,57.0,342,16,19,6,0,8,130
2010,SK Trivedi,7.352112676056338,261,35.5,213,11,7,5,1,1,79
2016,J Yadav,7.352941176470588,125,17.0,102,2,3,2,0,1,40
2012,SK Trivedi,7.365384615384615,383,52.0,312,13,9,22,3,5,106
2012,PP Ojha,7.366666666666666,221,30.0,180,9,12,9,1,4,73
2023,Kuldeep Yadav,7.36734693877551,361,49.0,294,10,18,6,0,3,92
2015,STR Binny,7.368421052631579,140,19.0,114,4,6,5,0,2,64
2008,SB Styris,7.37037037037037,199,27.0,162,3,11,5,0,0,68
2020,Ravi Bishnoi,7.372549019607843,376,51.0,306,12,17,14,0,5,134
2025,Kuldeep Yadav,7.377358490566038,391,53.0,318,15,15,6,1,2,113
2022,B Kumar,7.380191693290735,385,52.166666666666664,313,12,12,25,2,0,156
2012,AD Mathews,7.384615384615385,192,26.0,156,7,5,3,0,3,55
2018,RA Jadeja,7.390243902439025,303,41.0,246,11,12,8,0,7,86
2015,M Morkel,7.392857142857143,207,28.0,168,10,8,6,1,0,85
2021,Avesh Khan,7.39344262295082,451,61.0,366,24,15,18,1,8,172
2021,RD Chahar,7.395348837209302,318,43.0,258,13,15,3,0,2,96
2016,S Aravind,7.405714285714286,216,29.166666666666668,175,11,6,11,0,3,75
2015,JP Duminy,7.411764705882353,126,17.0,102,8,4,5,0,5,39
2008,MS Gony,7.416666666666667,445,60.0,360,17,16,11,2,7,174
2012,M Kartik,7.416666666666667,267,36.0,216,4,9,14,1,1,85
2011,M Muralitharan,7.421052631578948,141,19.0,114,2,8,4,0,1,50
2014,KV Sharma,7.421052631578948,376,50.666666666666664,304,15,21,3,0,4,128
2014,WD Parnell,7.425414364640884,224,30.166666666666668,181,6,5,9,1,1,97
2020,LH Ferguson,7.426229508196721,151,20.333333333333332,122,8,3,5,1,4,54
2016,DS Kulkarni,7.428571428571429,364,49.0,294,18,11,3,0,3,134
2010,KA Pollard,7.4324324324324325,275,37.0,222,15,6,11,1,3,70
2021,R Ashwin,7.432835820895523,332,44.666666666666664,268,7,15,10,1,2,104
2016,B Kumar,7.4393939393939394,491,66.0,396,23,8,24,1,8,186
2013,IK Pathan,7.441558441558441,382,51.333333333333336,308,10,8,8,0,2,149
2014,SK Raina,7.444444444444445,134,18.0,108,1,5,1,0,0,36
2014,R Bhatia,7.447368421052632,283,38.0,228,12,9,4,0,5,64
2017,DT Christian,7.45,298,40.0,240,11,9,9,0,2,88
2011,DS Kulkarni,7.45,149,20.0,120,5,3,8,0,3,52
2009,RJ Harris,7.451612903225806,231,31.0,186,6,8,6,1,1,94
2023,KH Pandya,7.4523809523809526,313,42.0,252,9,11,1,0,4,97
2022,M Theekshana,7.457142857142857,261,35.0,210,12,11,2,0,5,70
2020,M Ashwin,7.4603174603174605,235,31.5,189,10,9,2,0,6,72
2022,AR Patel,7.465116279069767,321,43.0,258,6,15,4,0,3,89
2015,SL Malinga,7.466666666666667,448,60.0,360,24,9,19,4,7,164
2010,SK Raina,7.468531468531469,178,23.833333333333332,143,6,6,4,0,2,47
2011,S Nadeem,7.473684210526316,142,19.0,114,4,6,1,0,0,41
2009,SB Jakati,7.482758620689655,217,29.0,174,13,10,1,0,6,66
2015,HV Patel,7.482889733840304,328,43.833333333333336,263,17,11,9,0,4,120
2010,PP Chawla,7.489795918367347,367,49.0,294,12,12,6,0,5,99
2012,UT Yadav,7.491803278688525,457,61.0,366,19,12,18,4,2,166
2009,Kamran Khan,7.499999999999999,140,18.666666666666668,112,7,3,9,1,2,56
2011,B Lee,7.5,340,45.333333333333336,272,5,5,16,2,2,130
2014,KK Cooper,7.5,135,18.0,108,4,5,2,1,1,45
2011,P Kumar,7.5,345,46.0,276,10,10,11,0,3,150
2012,JH Kallis,7.5,405,54.0,324,15,6,12,2,5,130
2011,R Vinay Kumar,7.5,335,44.666666666666664,268,12,5,10,0,3,120
2023,MM Ali,7.5,195,26.0,156,9,12,1,0,4,58
2013,RA Jadeja,7.505791505791506,324,43.166666666666664,259,13,17,3,1,5,100
2017,JJ Bumrah,7.50828729281768,453,60.333333333333336,362,20,9,12,9,12,140
2013,JH Kallis,7.509433962264151,398,53.0,318,16,12,11,4,7,133
2023,R Ashwin,7.510204081632653,368,49.0,294,14,14,16,0,4,105
2009,DP Nannes,7.515151515151516,372,49.5,297,15,7,23,0,3,167
2022,RA Jadeja,7.515151515151516,248,33.0,198,5,11,5,0,1,70
2019,DL Chahar,7.51937984496124,485,64.5,387,22,12,13,3,7,201
2017,S Badree,7.52,188,25.0,150,9,8,2,0,4,65
2016,A Mishra,7.521739130434782,346,46.0,276,13,12,12,2,5,103
2022,R Ashwin,7.522388059701493,504,67.0,402,12,20,18,1,4,138
2011,IK Pathan,7.5272727272727264,345,45.833333333333336,275,11,10,21,1,8,142
2019,M Ashwin,7.529411764705882,256,34.0,204,5,6,8,1,2,66
2008,Shahid Afridi,7.533333333333333,226,30.0,180,9,7,5,1,3,70
2021,LH Ferguson,7.533333333333333,226,30.0,180,13,6,6,2,4,81
2012,MN Samuels,7.534883720930233,216,28.666666666666668,172,8,8,5,0,2,71
2021,Mohammed Shami,7.537974683544304,397,52.666666666666664,316,19,14,7,2,8,151
2013,Iqbal Abdulla,7.539823008849558,142,18.833333333333332,113,7,8,0,0,3,41
2023,Mohammed Siraj,7.54,377,50.0,300,19,12,34,2,8,190
2017,AR Patel,7.541666666666667,362,48.0,288,15,17,6,0,7,92
2011,A Singh,7.543859649122807,215,28.5,171,9,4,4,0,3,83
2022,PWH de Silva,7.543859649122807,430,57.0,342,26,30,5,0,10,147
2021,JJ Bumrah,7.545454545454546,415,55.0,330,21,11,26,5,7,157
2014,MA Starc,7.546583850931677,405,53.666666666666664,322,14,6,21,3,6,161
2012,Z Khan,7.55,453,60.0,360,17,12,11,0,4,165
2013,JD Unadkat,7.551020408163265,370,49.0,294,13,7,5,0,2,110
2013,Azhar Mahmood,7.551330798479087,331,43.833333333333336,263,15,12,4,1,7,108
2023,RA Jadeja,7.56140350877193,431,57.0,342,20,20,11,0,8,113
2013,DJG Sammy,7.567164179104478,169,22.333333333333332,134,8,5,5,1,4,54
2018,Sandeep Sharma,7.568181818181818,333,44.0,264,12,14,9,0,6,125
2008,ST Jayasuriya,7.571428571428571,159,21.0,126,4,6,1,0,0,38
2016,KH Pandya,7.572192513368984,236,31.166666666666668,187,6,6,11,0,1,62
2013,R Bhatia,7.574144486692015,332,43.833333333333336,263,11,8,5,0,3,64
2020,KH Pandya,7.574750830564785,380,50.166666666666664,301,6,11,20,0,3,114
2015,NM Coulter-Nile,7.576470588235294,322,42.5,255,15,13,9,1,2,133
2015,CH Morris,7.5813953488372094,326,43.0,258,14,11,17,1,3,133
2019,I Sharma,7.586956521739131,349,46.0,276,13,7,12,0,3,131
2026,JO Holder,7.591304347826086,291,38.333333333333336,230,17,11,6,1,4,100
2014,IC Pandey,7.595238095238095,319,42.0,252,6,9,3,1,1,124
2010,RJ Harris,7.5978260869565215,233,30.666666666666668,184,14,7,17,0,4,97
2016,AB Dinda,7.60655737704918,232,30.5,183,11,3,9,1,3,94
2018,S Gopal,7.612903225806452,236,31.0,186,11,15,2,0,3,70
2014,JJ Bumrah,7.613445378151261,302,39.666666666666664,238,5,8,9,1,3,106
2020,DL Chahar,7.615384615384615,396,52.0,312,12,6,9,0,7,127
2010,SK Warne,7.62,381,50.0,300,11,15,6,0,2,104
2022,Mustafizur Rahman,7.625,244,32.0,192,8,6,7,0,2,83
2014,KW Richardson,7.62962962962963,206,27.0,162,9,7,5,0,2,70
2011,SB Jakati,7.6301886792452835,337,44.166666666666664,265,10,11,5,1,6,86
2010,CRD Fernando,7.631578947368421,145,19.0,114,7,3,11,7,2,59
2021,JD Unadkat,7.636363636363637,168,22.0,132,4,6,2,0,1,54
2009,CH Gayle,7.646017699115045,144,18.833333333333332,113,1,4,12,0,0,40
2021,J Yadav,7.647058823529412,130,17.0,102,2,6,4,0,1,48
2022,Sandeep Sharma,7.65,153,20.0,120,2,6,7,0,0,66
2009,SK Trivedi,7.65,153,20.0,120,6,3,3,1,3,45
2016,TG Southee,7.651162790697675,329,43.0,258,9,7,10,0,4,113
2011,M Morkel,7.651162790697675,329,43.0,258,13,9,16,4,3,138
2016,A Nehra,7.653846153846154,199,26.0,156,9,7,7,0,1,78
2008,MM Patel,7.654545454545454,421,55.0,330,14,12,6,1,3,149
2018,SP Narine,7.655737704918033,467,61.0,366,17,20,5,0,7,142
2010,SB Jakati,7.657894736842105,291,38.0,228,13,13,8,0,1,94
2024,AR Patel,7.659090909090909,337,44.0,264,11,15,1,0,7,81
2025,CV Varun,7.66,383,50.0,300,17,16,8,0,7,125
2022,HV Patel,7.663551401869159,410,53.5,321,19,20,25,0,1,147
2020,R Ashwin,7.666666666666667,391,51.0,306,13,14,6,0,4,107
2014,PP Chawla,7.670886075949367,303,39.5,237,14,12,1,0,6,81
2024,M Pathirana,7.681818181818182,169,22.0,132,13,5,15,0,5,67
2015,PP Chawla,7.685714285714286,269,35.0,210,11,11,7,0,4,70
2011,DT Christian,7.686131386861314,351,45.666666666666664,274,11,10,18,1,5,133
2014,M Morkel,7.6875,369,48.0,288,12,11,27,2,3,170
2011,S Randiv,7.689655172413793,223,29.0,174,6,5,6,0,0,66
2014,DW Steyn,7.696428571428571,431,56.0,336,11,16,6,0,1,160
2017,YS Chahal,7.7011494252873565,335,43.5,261,14,18,12,2,2,108
2013,P Awana,7.703703703703703,416,54.0,324,15,11,10,4,4,144
2013,S Sreesanth,7.707692307692307,167,21.666666666666668,130,5,6,7,4,1,74
2008,PP Ojha,7.710407239819004,284,36.833333333333336,221,11,11,20,0,2,95
2018,B Kumar,7.7111913357400725,356,46.166666666666664,277,9,16,9,2,1,132
2014,R Dhawan,7.711267605633802,365,47.333333333333336,284,13,11,19,0,6,100
2011,Z Khan,7.711864406779661,455,59.0,354,14,11,23,0,6,170
2022,RD Chahar,7.714285714285714,360,46.666666666666664,280,14,14,16,0,3,109
2009,JH Kallis,7.717391304347826,355,46.0,276,6,8,19,2,2,129
2016,Z Khan,7.7175572519083975,337,43.666666666666664,262,10,7,13,0,2,121
2015,A Mishra,7.717842323651452,310,40.166666666666664,241,9,11,9,0,4,85
2022,Simarjeet Singh,7.722222222222222,139,18.0,108,4,4,9,1,0,61
2024,KH Pandya,7.7272727272727275,255,33.0,198,6,9,15,0,1,65
2008,B Akhil,7.730769230769232,134,17.333333333333332,104,2,6,2,0,0,39
2015,RA Jadeja,7.734375,330,42.666666666666664,256,11,17,2,0,3,90
2013,M Muralitharan,7.739130434782608,178,23.0,138,3,8,3,1,3,55
2013,L Balaji,7.74,387,50.0,300,12,14,12,0,5,133
2011,AC Thomas,7.740259740259741,298,38.5,231,11,9,9,1,1,107
2013,AD Mathews,7.741935483870968,240,31.0,186,5,4,10,0,0,54
2017,CH Morris,7.741935483870968,240,31.0,186,12,7,3,0,6,75
2009,IK Pathan,7.748344370860927,390,50.333333333333336,302,17,11,12,0,6,140
2010,UT Yadav,7.75,186,24.0,144,6,2,10,2,2,66
2012,IK Pathan,7.75,465,60.0,360,8,14,6,0,1,163
2022,YS Chahal,7.75,527,68.0,408,27,27,21,0,9,158
2023,RD Chahar,7.751677852348994,385,49.666666666666664,298,8,12,3,0,2,99
2016,PP Chawla,7.754716981132075,274,35.333333333333336,212,11,12,8,1,6,85
2009,PJ Sangwan,7.757142857142857,362,46.666666666666664,280,15,13,17,2,1,137
2012,Azhar Mahmood,7.7578125,331,42.666666666666664,256,14,4,13,2,1,105
2021,JO Holder,7.7591623036649215,247,31.833333333333332,191,16,5,16,0,1,87
2016,RA Jadeja,7.767634854771785,312,40.166666666666664,241,8,14,6,1,3,85
2008,SK Warne,7.769230769230769,404,52.0,312,19,19,9,0,7,119
2022,J Suchith,7.777777777777778,140,18.0,108,7,9,8,0,2,56
2022,Arshdeep Singh,7.78,389,50.0,300,10,6,21,4,3,125
2023,Ravi Bishnoi,7.782178217821782,393,50.5,303,16,16,9,2,5,104
2008,A Nehra,7.784386617100371,349,44.833333333333336,269,12,8,12,1,3,136
2013,S Kaul,7.786259541984733,170,21.833333333333332,131,4,4,6,0,1,48
2016,P Kumar,7.786407766990291,401,51.5,309,9,9,18,0,3,149
2017,Z Khan,7.792531120331951,313,40.166666666666664,241,10,8,5,0,1,84
2012,JA Morkel,7.797979797979798,386,49.5,297,13,9,18,1,2,143
2012,RA Jadeja,7.8,273,35.0,210,12,11,14,0,7,75
2010,Z Khan,7.8,377,48.333333333333336,290,15,8,5,1,8,121
2018,K Gowtham,7.8,312,40.0,240,11,9,4,0,5,94
2012,RP Singh,7.804878048780488,320,41.0,246,10,8,15,2,5,124
2021,DJ Bravo,7.811881188118813,263,33.666666666666664,202,14,11,20,0,1,92
2019,K Rabada,7.8125,375,48.0,288,26,10,12,0,5,125
2009,DL Vettori,7.812949640287769,181,23.166666666666668,139,7,7,2,0,3,53
2011,PC Valthaty,7.820689655172413,189,24.166666666666668,145,7,6,6,0,2,47
2015,PV Tambe,7.823529411764706,266,34.0,204,7,12,0,0,5,70
2019,YS Chahal,7.824324324324324,386,49.333333333333336,296,18,22,12,0,6,129
2015,Harbhajan Singh,7.824561403508772,446,57.0,342,18,15,10,0,7,126
2019,SP Narine,7.827067669172932,347,44.333333333333336,266,10,13,11,0,4,103
2019,B Kumar,7.830508474576271,462,59.0,354,13,16,14,1,2,180
2016,Shakib Al Hasan,7.838709677419355,243,31.0,186,5,9,4,0,2,65
2009,DJ Bravo,7.839195979899498,260,33.166666666666664,199,11,11,13,1,1,104
2023,A Mishra,7.842105263157895,149,19.0,114,7,6,1,0,1,33
2025,SP Narine,7.844444444444444,353,45.0,270,12,22,5,2,4,93
2023,Noor Ahmad,7.8445229681978805,370,47.166666666666664,283,16,13,16,1,5,118
2011,DJ Bravo,7.85,157,20.0,120,6,6,9,0,1,51
2023,Naveen-ul-Haq,7.857142857142857,220,28.0,168,11,9,6,2,4,74
2013,I Sharma,7.860335195530727,469,59.666666666666664,358,15,16,19,3,4,180
2022,M Ashwin,7.862068965517241,228,29.0,174,9,13,5,0,2,74
2018,R Tewatia,7.863636363636363,173,22.0,132,6,10,2,0,1,43
2020,PJ Cummins,7.865384615384615,409,52.0,312,12,15,16,0,5,149
2024,RA Jadeja,7.872340425531915,370,47.0,282,8,14,3,1,1,77
2017,Imran Tahir,7.872340425531915,370,47.0,282,18,20,5,1,12,98
2015,B Kumar,7.87741935483871,407,51.666666666666664,310,18,14,14,0,10,147
2009,AM Salvi,7.882352941176471,134,17.0,102,4,6,8,0,1,47
2016,STR Binny,7.882352941176471,134,17.0,102,1,1,2,0,0,30
2016,JJ Bumrah,7.884615384615385,410,52.0,312,15,13,10,4,4,124
2022,TG Southee,7.885714285714286,276,35.0,210,14,13,10,1,1,103
2019,MJ McClenaghan,7.888888888888889,142,18.0,108,3,6,6,0,0,51
2015,Iqbal Abdulla,7.894736842105263,150,19.0,114,4,8,8,0,1,53
2023,M Markande,7.894736842105263,300,38.0,228,12,12,3,0,6,78
2008,I Sharma,7.897233201581028,333,42.166666666666664,253,7,5,21,4,3,133
2018,UT Yadav,7.899686520376176,420,53.166666666666664,319,20,19,12,2,8,159
2012,B Lee,7.921052631578948,301,38.0,228,7,12,6,2,2,107
2020,NM Coulter-Nile,7.923076923076923,206,26.0,156,5,9,11,0,0,78
2009,DS Kulkarni,7.923076923076923,206,26.0,156,5,6,8,0,0,71
2025,MJ Santner,7.924050632911392,313,39.5,237,10,10,11,0,5,89
2017,Ankit Soni,7.9266055045871555,144,18.166666666666668,109,2,7,3,0,1,41
2021,TA Boult,7.928571428571428,407,51.333333333333336,308,13,17,13,1,9,146
2008,A Kumble,7.930434782608695,304,38.333333333333336,230,7,14,10,0,2,97
2010,J Theron,7.932885906040269,197,24.833333333333332,149,8,5,9,1,5,61
2008,DP Vijaykumar,7.93421052631579,201,25.333333333333332,152,4,5,7,2,0,74
2022,TA Boult,7.935483870967742,492,62.0,372,16,16,19,0,5,191
2012,P Awana,7.9361702127659575,373,47.0,282,17,15,14,1,3,133
2015,DS Kulkarni,7.942857142857143,278,35.0,210,13,4,16,1,4,110
2011,JP Duminy,7.944444444444445,143,18.0,108,4,9,3,0,2,49
2020,SP Narine,7.947368421052632,302,38.0,228,5,15,2,0,2,69
2012,MM Patel,7.95,371,46.666666666666664,280,15,19,8,4,6,133
2009,P Kumar,7.953020134228188,395,49.666666666666664,298,13,14,14,1,2,139
2013,DJ Bravo,7.968,498,62.5,375,32,18,17,1,9,157
2026,B Kumar,7.968253968253968,502,63.0,378,28,16,14,1,6,164
2010,R McLaren,7.970588235294118,271,34.0,204,4,3,11,1,3,88
2016,AD Russell,7.972602739726027,291,36.5,219,15,11,9,0,5,102
2024,Harpreet Brar,7.973684210526316,303,38.0,228,7,13,6,0,4,76
2021,B Kumar,7.976190476190476,335,42.0,252,6,12,7,0,1,110
2023,SP Narine,7.979166666666667,383,48.0,288,11,15,9,0,3,95
2016,MC Henriques,7.980769230769231,415,52.0,312,12,16,6,0,1,97
2015,AD Russell,7.991803278688525,325,40.666666666666664,244,14,13,12,1,3,109
2016,Harbhajan Singh,8.0,392,49.0,294,9,16,6,0,3,96
2015,RS Bopara,8.0,160,20.0,120,6,3,7,0,3,43
2022,Mohammed Shami,8.0,488,61.0,366,20,17,28,0,9,184
2008,AB Agarkar,8.0,208,26.0,156,8,8,12,1,1,81
2011,S Aravind,8.0,368,46.0,276,21,16,12,0,4,133
2014,SR Watson,8.0,168,21.0,126,7,5,8,3,3,69
2018,Shakib Al Hasan,8.0,456,57.0,342,14,20,5,0,3,101
2008,R Vinay Kumar,8.0,184,23.0,138,5,7,3,2,0,62
2023,M Theekshana,8.0,392,49.0,294,11,13,5,0,5,91
2012,KA Pollard,8.007604562737642,351,43.833333333333336,263,16,11,23,1,5,110
2012,DJ Bravo,8.011560693641618,462,57.666666666666664,346,15,13,20,0,4,136
2023,Harpreet Brar,8.024539877300613,218,27.166666666666668,163,9,7,3,0,3,61
2023,M Pathirana,8.028776978417266,372,46.333333333333336,278,19,9,42,1,5,136
2018,AJ Tye,8.035714285714286,450,56.0,336,24,13,17,2,3,132
2020,T Natarajan,8.037135278514588,505,62.833333333333336,377,16,19,12,1,7,147
2013,CH Morris,8.04,402,50.0,300,15,12,10,1,3,131
2009,AB Dinda,8.041666666666666,193,24.0,144,4,9,6,0,0,75
2023,Mohammed Shami,8.046153846153846,523,65.0,390,28,21,18,2,7,206
2025,A Kamboj,8.046511627906977,173,21.5,129,8,8,1,1,4,57
2020,GJ Maxwell,8.047619047619047,169,21.0,126,3,9,0,0,1,37
2009,BJ Hodge,8.05,161,20.0,120,7,8,8,0,1,40
2008,CRD Fernando,8.05,161,20.0,120,10,6,8,1,2,60
2021,KH Pandya,8.050251256281408,267,33.166666666666664,199,5,12,15,2,3,78
2010,RG Sharma,8.052631578947368,153,19.0,114,2,4,6,0,0,40
2024,CV Varun,8.06,403,50.0,300,21,26,8,2,4,133
2013,NLTC Perera,8.061452513966481,481,59.666666666666664,358,19,13,12,3,3,153
2012,A Mishra,8.063829787234043,379,47.0,282,13,19,8,2,4,98
2019,DJ Bravo,8.064777327935223,332,41.166666666666664,247,11,6,16,2,1,88
2013,DP Nannes,8.067226890756302,160,19.833333333333332,119,4,4,12,2,1,60
2022,KK Ahmed,8.068085106382979,316,39.166666666666664,235,16,13,7,1,1,117
2010,R Sharma,8.080645161290322,167,20.666666666666668,124,5,11,2,0,3,45
2018,R Ashwin,8.092105263157896,410,50.666666666666664,304,10,16,11,0,4,87
2012,Pankaj Singh,8.095238095238095,170,21.0,126,7,4,1,0,2,59
2017,PJ Cummins,8.101083032490974,374,46.166666666666664,277,15,9,12,1,5,110
2011,JE Taylor,8.102564102564102,158,19.5,117,6,9,5,1,0,59
2022,JR Hazlewood,8.10752688172043,377,46.5,279,20,17,10,0,3,133
2026,AJ Hosein,8.108108108108107,200,24.666666666666668,148,8,11,3,2,2,60
2012,R Sharma,8.108108108108109,300,37.0,222,9,16,2,0,3,76
2016,AR Patel,8.11149825783972,388,47.833333333333336,287,13,17,7,0,7,105
2011,M Kartik,8.112,169,20.833333333333332,125,1,7,6,3,0,43
2023,PP Chawla,8.114754098360656,495,61.0,366,22,19,5,0,7,126
2011,RJ Harris,8.127659574468085,382,47.0,282,16,9,23,0,7,135
2011,PP Chawla,8.129032258064516,336,41.333333333333336,248,16,15,12,0,5,99
2008,DS Kulkarni,8.135593220338983,240,29.5,177,11,6,20,4,2,93
2020,TA Boult,8.137931034482758,472,58.0,348,25,11,6,0,4,163
2008,DJ Bravo,8.140350877192983,232,28.5,171,11,10,10,0,5,83
2018,Kuldeep Yadav,8.142857142857142,418,51.333333333333336,308,17,24,8,0,6,98
2026,Mohsin Khan,8.142857142857142,228,28.0,168,11,12,3,0,0,72
2013,DS Kulkarni,8.142857142857142,152,18.666666666666668,112,8,6,9,1,0,61
2023,CV Varun,8.145569620253164,429,52.666666666666664,316,20,22,12,0,10,131
2021,KK Ahmed,8.148148148148149,220,27.0,162,5,4,6,1,0,61
2017,NM Coulter-Nile,8.152941176470588,231,28.333333333333332,170,15,6,8,3,4,82
2014,RA Jadeja,8.153374233128835,443,54.333333333333336,326,19,21,7,0,5,111
2020,Shivam Mavi,8.153846153846153,212,26.0,156,9,5,6,0,1,69
2015,DJ Bravo,8.159235668789808,427,52.333333333333336,314,26,17,10,1,3,106
2009,BAW Mendis,8.16,136,16.666666666666668,100,3,7,2,1,1,29
2008,YK Pathan,8.165680473372781,230,28.166666666666668,169,8,16,1,0,1,63
2020,RD Chahar,8.169811320754716,433,53.0,318,15,19,5,0,4,109
2023,MM Sharma,8.173584905660379,361,44.166666666666664,265,27,16,3,0,2,90
2016,YS Chahal,8.176271186440678,402,49.166666666666664,295,21,15,17,1,4,117
2023,YS Chahal,8.176656151419557,432,52.833333333333336,317,21,15,9,0,5,106
2026,AR Patel,8.181818181818182,360,44.0,264,11,20,8,0,3,86
2024,Sandeep Sharma,8.18421052631579,311,38.0,228,13,9,8,0,3,83
2014,DS Kulkarni,8.185185185185185,221,27.0,162,6,11,11,0,0,86
2017,HH Pandya,8.192307692307692,213,26.0,156,6,6,6,0,3,57
2016,MJ McClenaghan,8.19375,437,53.333333333333336,320,17,16,12,1,5,149
2008,P Kumar,8.194029850746269,366,44.666666666666664,268,11,16,14,0,2,125
2012,SB Jakati,8.195121951219512,336,41.0,246,9,13,6,0,1,79
2021,K Rabada,8.196428571428571,459,56.0,336,15,24,10,3,5,143
2015,AD Mathews,8.2,246,30.0,180,7,6,5,0,1,69
2017,VR Aaron,8.2,164,20.0,120,7,4,9,1,2,63
2014,Karanveer Singh,8.2,164,20.0,120,11,9,6,0,1,48
2014,Imran Tahir,8.208,171,20.833333333333332,125,9,6,7,0,2,47
2014,S Nadeem,8.210526315789474,312,38.0,228,8,14,8,1,4,75
2023,TA Boult,8.210526315789474,312,38.0,228,13,8,12,0,7,114
2022,R Dhawan,8.210526315789474,156,19.0,114,6,5,5,0,1,38
2018,BA Stokes,8.216216216216216,304,37.0,222,8,4,10,1,1,87
2017,A Zampa,8.218487394957984,163,19.833333333333332,119,7,9,3,0,1,42
2025,Noor Ahmad,8.22,411,50.0,300,24,18,22,3,7,119
2014,UT Yadav,8.222222222222221,370,45.0,270,11,8,15,3,4,117
