Year,Bowler,Economy,TotalRuns,Overs,TotalBalls,TotalWickets,Sixes,Wides,NoBalls,FI Wickets,DotBalls
2020,TU Deshpande,11.352941176470589,193,17.0,102,3,7,8,1,0,36
2026,Sandeep Sharma,11.389830508474576,224,19.666666666666668,118,5,13,9,0,2,41
2024,Akash Madhwal,11.394495412844035,207,18.166666666666668,109,5,9,10,2,2,44
2025,Ashwani Kumar,11.414634146341463,234,20.5,123,11,15,9,2,3,46
2020,TK Curran,11.504587155963302,209,18.166666666666668,109,3,10,7,1,0,31
2026,HH Pandya,11.51470588235294,261,22.666666666666668,136,4,13,15,2,1,55
2026,XC Bartlett,11.611940298507463,389,33.5,201,5,18,12,1,0,64
2025,PVD Chameera,11.705882352941176,199,17.0,102,4,12,9,1,0,32
2020,AS Rajpoot,11.764705882352942,200,17.0,102,2,12,12,2,0,46
2024,M Markande,11.818181818181818,260,22.0,132,8,23,10,1,2,38
2026,PP Hinge,11.846153846153847,308,26.0,156,14,19,12,3,2,72
2026,TU Deshpande,11.956521739130435,275,23.0,138,4,13,13,0,0,53
2026,R Shepherd,11.96,299,25.0,150,7,22,8,1,1,45
2025,Akash Deep,12.052631578947368,229,19.0,114,3,9,17,0,1,48
2025,AD Russell,12.110091743119265,220,18.166666666666668,109,8,13,5,3,2,32
2025,Fazalhaq Farooqi,12.352941176470589,210,17.0,102,0,8,2,0,0,27
2026,SN Thakur,12.363636363636363,272,22.0,132,12,13,18,2,2,53
2024,A Nortje,13.409090909090908,295,22.0,132,7,22,8,1,1,47
